Expression	Value	Location	Type	
ab	Error (col 1): Unknown or ambiguous symbol. ab			
testInput_f32_10khz	Error (col 1): Unknown or ambiguous symbol. testInput_f32_10khz			
ADC_flag_fft	'.' (0x01)	0x2000'8a36	uint8_t	
ADC_buf	<array>	0x2000'56d0	q31_t[1024]	
ADC_arr	<array>	0x2000'66d0	float32_t[1024]	
ADC_fft	<array>	0x2000'36d0	float32_t[2048]	
Spectr_fft	<array>	0x2000'76d0	float32_t[1024]	
[0]	1.39'639'294E-3	0x2000'76d0	float32_t	
[1]	7.93'654'749E-7	0x2000'76d4	float32_t	
[2]	7.75'417'334E-7	0x2000'76d8	float32_t	
[3]	8.70'141'662E-7	0x2000'76dc	float32_t	
[4]	3.81'566'139E-7	0x2000'76e0	float32_t	
[5]	9.45'591'125E-7	0x2000'76e4	float32_t	
[6]	9.17'711'475E-7	0x2000'76e8	float32_t	
[7]	7.65'025'959E-7	0x2000'76ec	float32_t	
[8]	5.2'241'711E-7	0x2000'76f0	float32_t	
[9]	3.60'453'534E-8	0x2000'76f4	float32_t	
[10]	1.4'869'245E-7	0x2000'76f8	float32_t	
[11]	3.81'262'652E-7	0x2000'76fc	float32_t	
[12]	3.07'748'508E-7	0x2000'7700	float32_t	
[13]	1.2'600'043E-6	0x2000'7704	float32_t	
[14]	3.18'584'995E-7	0x2000'7708	float32_t	
[15]	7.79'305'765E-7	0x2000'770c	float32_t	
[16]	4.71'471'594E-7	0x2000'7710	float32_t	
[17]	6.63'426'931E-7	0x2000'7714	float32_t	
[18]	7.35'868'184E-7	0x2000'7718	float32_t	
[19]	9.51'242'441E-7	0x2000'771c	float32_t	
[20]	1.10'176'927E-6	0x2000'7720	float32_t	
[21]	9.81'904'691E-7	0x2000'7724	float32_t	
[22]	9.27'690'451E-7	0x2000'7728	float32_t	
[23]	5.73'706'472E-7	0x2000'772c	float32_t	
[24]	3.82'426'521E-7	0x2000'7730	float32_t	
[25]	5.31'722'151E-7	0x2000'7734	float32_t	
[26]	7.16'039'665E-7	0x2000'7738	float32_t	
[27]	3.08'702'397E-7	0x2000'773c	float32_t	
[28]	3.88'372'285E-7	0x2000'7740	float32_t	
[29]	3.98'030'778E-7	0x2000'7744	float32_t	
[30]	8.70'454'585E-7	0x2000'7748	float32_t	
[31]	6.49'373'135E-7	0x2000'774c	float32_t	
[32]	3.56'646'098E-7	0x2000'7750	float32_t	
[33]	7.93'586'139E-7	0x2000'7754	float32_t	
[34]	4.93'512'573E-7	0x2000'7758	float32_t	
[35]	7.3'164'648E-7	0x2000'775c	float32_t	
[36]	6.39'902'168E-7	0x2000'7760	float32_t	
[37]	5.5'936'033E-7	0x2000'7764	float32_t	
[38]	3.02'303'647E-7	0x2000'7768	float32_t	
[39]	6.43'415'603E-7	0x2000'776c	float32_t	
[40]	1.05'856'236E-6	0x2000'7770	float32_t	
[41]	4.24'172'924E-7	0x2000'7774	float32_t	
[42]	1.06'550'237E-6	0x2000'7778	float32_t	
[43]	7.81'600'306E-7	0x2000'777c	float32_t	
[44]	1.15'268'426E-6	0x2000'7780	float32_t	
[45]	6.40'867'881E-7	0x2000'7784	float32_t	
[46]	5.73'332'045E-7	0x2000'7788	float32_t	
[47]	5.74'627'393E-7	0x2000'778c	float32_t	
[48]	4.45'910'558E-7	0x2000'7790	float32_t	
[49]	8.0'703'478E-7	0x2000'7794	float32_t	
[50]	5.76'044'726E-7	0x2000'7798	float32_t	
[51]	1.18'202'081E-6	0x2000'779c	float32_t	
[52]	1.27'675'619E-7	0x2000'77a0	float32_t	
[53]	8.59'074'248E-7	0x2000'77a4	float32_t	
[54]	8.64'702'088E-7	0x2000'77a8	float32_t	
[55]	9.06'576'247E-7	0x2000'77ac	float32_t	
[56]	4.84'056'443E-7	0x2000'77b0	float32_t	
